ARIN Emulator;ARINEmulator

ASR Data Model;asr-data-model

ASR Integration Adapter;asr-integration-adapter

ATM;ATM

ATP Core;atp-core

ATest Product Component;test

Access Control;access-control

Access Management;access-management

Activation Bus;activation-bus

Activation Operations Catalog;activation-operations-catalog

Address Management;AddressManagement

Adjustment Management;Adjustment_Mgmt

Administrative Tools: History;AdminTools.History

Administrative Tools: Scripts Generator;AdminTools.ScriptsGenerator

Administrative Tools: UI;AdminTools.UI

Alcatel 1353/1354 Integration;Alcatel_1353_1354

Alcatel 5620 SAM Integration;alcatel-5620-sam-int

Applet Old;Applet

Applet: Applications;APPLET.APP

Applet: Applications: FTTH;APPLET.APP.FTTH

Applet: Applications: GIS MapInfo;GISMapInfo

Applet: Applications: GIS Resident;GISResident

Applet: Applications: GIS WireMap;GISWireMap

Applet: Applications: MSC;APPLET.MSC

Applet: Applications: OSP;APPLET.OSP

Applet: Applications: Rows;Applet.Rows

Applet: Network Configurator;APPLET

Applet: Workflow Configurator;APPLET.WF

Application Server Configuration Scripts;application-server-configuration-scripts

Application Server Configurator;application-server-configurator

Application Server Template;application-server-template

Appointment Reservation;AppointmentReservation

Archiving;Archiving

Asset Management;asset-management

Asset Management(old);AssetMgmt

Assignment Rules;AssignmentRules

Attachment Management;AttachmentManagement

Attachment Services;attachment-services

Attachment Storage Service;attachment-storage-service

Attribute Calculation Services;attribute-calculation-services

Attributes and Types Configurator;AdminTool

Attributes and Types Configurator (old);attributes-and-types-configurator-old

Audit Trail Monitor;audit-trail-monitor

Authentication & Authorization Framework;AuthFramework

Authentication Configuration;authentication-configuration

Authentication Services;authentication-services

Authenticators Configurator;auth-configurator

Authorization Services;authorization-services

AutoInstaller;AutoInstaller

Autorouting;Autorouting

Auxiliary Scripts;AuxiliaryScripts

Availability Check;AvailabilityCheck

Availability and Feasibility Check;AC_FC

BAIP. RBM Integration;baip-rbm-integration

Base Administrative Tools;base-administrative-tools

Base Inventory for Service/Product Inventory;GenericInventory

Base Resource Inventory;base-resource-inventory

Bill Calculation;Bill_Calculation

Billing;Billing

Billing Account Management;Billing_Accounts_Mgmt

Billing Activation and Information Provider;billing-activation-and-information-provider

Billing Activation and Information Provider. Partner Desktop;baip-partner-desktop

Billing Catalog;billing-catalog

Billing Common Entities;Billing_CE

Billing Commons;billing-commons

Billing Configuration Management;Billing_Conf_Mgmt

Billing Dispute Management;billing-dispute-management

Billing Mediation;BillingMediation

Billing and Invoicing Management;Billing_Invoicing_Mgmt

BlazeDS;BlazeDS

Bulk Sales Order Creation Tool;bulk-sales-order-creation-tool

Business Activity Monitoring;BAM

Business Activity Monitoring for SPF;BAM_for_SPF

Business Calendar;Calendar

Business Operations Framework;business-operations-framework

Business Order Entry;businessoe

Business Rule Engine;business-rule-engine

CBTUI NC Components;CBTUI_NCComponents

CFGMGMT: Attribute Schema SQL Export tool;AttrExportTool

CIA: Correlation Engine for Mass Market;CIACEMassMarket

CIA: Event Management;CIAProdEm

CIA: Notification Escalation;NotificationEscalation

CIA: Trouble Ticketing;CIAProdTT

CIAPlannedMaintenance;CIAPlannedMaintenance

CIAServiceIncidentLogging;CIAServiceIncidentLogging

CM CMDB;cm-cmdb

CM Configuration Validator;cm-configuration-validator

CM Current Config Extractor;cm-current-config-extractor

CM Network Integration Point;cm-network-integration-point

CM Network Queue Manager;cm-network-queue-manager

CM Node Inventory;cm-node-inventory

CM RPC Processor;cm-rpc-processor

CM Service Layer Mediation;cm-service-layer-mediation

CMTools;CMTools

CRM Product sample patch;crm-product-sample-patch

CSR Desktop;csr-desktop

CSR Desktop. Incident Tickets Tracking;csr-desktop-incident-tickets-tracking

CSR Payment Service;csr-payment-service

CUBE Commons;cube-commons

CUBE Install;cube-install

CUBE Performance;cube-performance

CUBE Testing Framework;cube-testing-framework

Cable Customer Care and Shopping UI (Adaptive UI);cable-customer-care-and-shopping-ui

Campaign Management;campaign-management

Capacity Management;CapacityMgmt

Capacity Planning. SDH/MW Topology Loader;cpl-sdh-mw-loader

Capacity Planning. Transport Network;cpl-transport-ntwk

Card Device Replacement Wizard;CardReplacement

Catalog Generic;CatalogGeneric

Catalog Resources;CatalogResources

Cell Site Schematic View;cell-site-schematic-view

Central User Management;user-management-central

Charging Management;Charging_Mgmt

Circuit Bulk Creation;CBC

Circuit Design Manager;circuit-design-manager

Circuit Model Descriptor;circuit-model-descriptor

Cloud Platform Services;cloud-platform-services

Cluster and Runtime Services;cluster-and-runtime-services

Command Engine;CommandEngine

Common Application Logging Framework;common-app-logging-framework

Common Data Model;common-data-model

Common Search Plugins;CommonSearchPlugins

Common utils;cUtils

Component-Based TUI;CBTUI

Configurable Graph View;configurable-graph-view

Configuration Management;ConfigurationMgmt

Configuration Summary;configuration-summary

Connectivity Detection Tool;connectivity-detection-tool

Connectivity Detection Tool. Default Rules;connectivity-detection-tool-default-rules

Contact Management;ContactManagement

Core;Core_K5

Core Componentized;Core

Core Objects Operations Layer;core-objects-operations-layer

Correlation Engine;CIAProdCE

Correlation Engine. Basic Inventory Rules;correlation-engine-basic-inventory-rules

Currency Management;Currency_Mgmt

Customer Impact Analysis;CIAProd

Customer Information Management;customer-information-management

Customer Information and History Management;customer-information-and-history-management

Customer Portal Platform;customer-portal-platform

Customer Retention Management;customer-retention-management

DCI Configuration;DCI_Configuration

DSL;DSL

DWDM;DWDM

DWDM Configuration;DWDM_Configuration

DWDM Network View;dwdm-ntwk-view

Data Cache;datacache

Data Extraction Tool;data-extraction-tool

Data Object Beans;data-object-beans

Data Preparation Engine;data-preparation-engine

Data Request and Access;DataAccess

Data Source Framework;DataSourceFramework

DataFlow RTF Interface;DF_RTF_Interface

DataFlow. MANO UI;dataflow-mano-ui

DataFlow. Platform API;MediationDataFlowPP

DataFlow. SNMP;dataflow-snmp

DataFlow. TOMS UI;mediation-dataflow-toms-ui

DataFlow. Terminals;dataflow-terminals

DataFlow. WebServices;Mediation_DataFlow_WS

Dependency Injection Commons;di-commons

Deploy VM Init;deploy-vm-init

Deploy VM Nginx;deploy-vm-nginx

Deployer;deployer

Design & Planning. Path Management;DP_Path_Management

Design and Planning Default Rules;DP_Default_Rules

Design and Planning Device View;design-planning-device-view

Design and Planning Framework;DPFramework

Design and Planning GUI: Floor Space Management;design-planning-gui-fsm

Design and Planning GUI: Rack Space Management;design-planning-gui-rsm

Design and Planning OSP Extension;DP_OSP_Prod

Design and Planning Search Plugin;dp-search-plugin

Design and Planning. ATM;dp-atm

Design and Planning. Capacity Management;DP_CapacityManagement

Design and Planning. Card Device Replacement Wizard;dp-cdrw

Design and Planning. Circuit Bulk Creation;dp-cbc

Design and Planning. Circuit Model Descriptor;dp-circuit-model-descriptor

Design and Planning. DSL;dp-dsl

Design and Planning. DWDM;dp-dwdm

Design and Planning. Device Connectivity Wizard;dp-device-connectivity-wizard

Design and Planning. HFC;dp-hfc

Design and Planning. HFC Network View;dp-hfc-network-view

Design and Planning. IP/MPLS/Metro Ethernet;dp-ip-mpls-metro_ethernet

Design and Planning. IP/MPLS/Metro Ethernet Circuit Designer;dp-ip-mpls-me-circuit-designer

Design and Planning. MPLS-TP Network View;dp-mpls-tp-ntwk-view

Design and Planning. Metro Ethernet Network View;dp-me-ntwk-view

Design and Planning. Microwave;dp-microwave

Design and Planning. Mobile Inter-domain;dp-mobileid

Design and Planning. Mobile RAN;dp-mobileran

Design and Planning. NSS;dp-nss

Design and Planning. Network Graph Manager;dp-ntwk-graph-manager

Design and Planning. OTN;dp-otn

Design and Planning. Object Graphical View Descriptor;dp-object-graphical-view-descriptor

Design and Planning. RI Operations Framework;dp-ri-operations-framework

Design and Planning. Resource Inventory;DP_ResourceInventory

Design and Planning. SDH/PDH;dp-sdh-pdh

Design and Planning. SONET;dp-sonet

Design and Planning. SONET Network View;dp-sonet-network-view

Design and Planning. SS7 SIGTRAN;dp-ss7

Device Connectivity Wizard;device-connectivity-wizard

Device Library;DL

Device Library Report Tool;DL_Report

Device View;device-view

Diagram Template Editor;diagram-template-editor

Discounting Management;Discounting_Mgmt

Discovery Cisco Devices;DS_CiscoDevices

Discovery SNMP Hardware;DS_SNMPHardware

Discovery Solution;DS

Discrete Service Lifecycle;DiscreteLifecycle

Dispute and Adjustment Management;dispute-and-adjustment-management

Disputes and Inquires Management;Disputes_Inquires_Mgmt

Distributed Component Information Registry;distributed-component-info-registry

Docker Elasticsearch;docker-elasticsearch

Docker etcd;docker-etcd

Documents;documents

Domain Search;domain-search

Dynamic Decisioning System;dynamic-decisioning-system

Dynamic Security Subsystem;dynamic-security-subsystem

E2E SDN Controller;e2e-sdn-controller

E2E SDN Controller View;e2e-sdn-controller-view

Elasticsearch Authentication Plugin;elasticsearch-authentication-plugin

Elasticsearch Discovery Plugin;elasticsearch-discovery-plugin

Elasticsearch Telegraf;elasticsearch-telegraf

Encryption Services;encryption-services

Entity and Service Adapter Framework;entity-and-service-adapter-framework

Ericsson MLM Integration;Ericsson_MLM_INT

Ericsson OSS Integration;Ericsson_OSS_Int

Ericsson SOEM Integration;Ericsson_SOEM

Error Handling Framework;ErrorHandling

Ethernet Ring View;ethernet-ring-view

Event Router;event-router

Exception Handling;exception-handling

Execution Statistics Collector;execution-statistics-collector

Export / Import;ExportImport

Export Subsystem;ExportSubsystem

FTP Poller;ftp-poller

Feasibility Check;FeasibilityCheck

Financial Operation Management;Fin_Operation_Mgmt

Flex Design and Planning;flex-design-planning

Flex Fonts;flex-fonts

Flex Fonts. Extended Character Set;flex-fonts-extended-character-set

Flex Graph View;flex-graph-view

Flex Internationalization and Localization;nc-flex-i18n

Flex Parameters Editing;flex-parameters-editing

Flex Resource Inventory;flex-resource-inventory

Floor Space Management;FloorSpaceMgmt

Form Designer;Forms

Frame Relay;FrameRelay

Frontend-Backend Interaction Security;frontend-backend-interaction-security

Full-Text Search;full-text-search

GIS Integration. Geocoding Interface;gis-integration-geocoding-interface

GIS Integration. Google Maps Adapter;gis-integration-google-maps-adapter

GIS Integration. Routing Interface;gis-integration-routing-interface

GPON;GPON

GPON Configuration;GPON_Configuration

GSM;GSM

GSM/UMTS RAN Configuration;RAN_Configuration

GUI Capacity Planning;gui-capacity-planning

GUI Configuration;gui-configuration

GUI Core;GUI_Core

GUI Diagram Editor;GUI_DiagramEditor

GUI Flex Diagramming Core;GUI_FlexCore

GUI GIS ArcIMS;GISArcIMS

GUI GIS WMS;GISWMS

GUI Inventory;GUI_Inventory

GUI MSC;GUI_MSC

GUI Metro Ethernet Network View;GUI_MetroEthernet

GUI OPF Core;GUI_OPF_Core

GUI OPF Demo;GUI_OPF_Demo

GUI OPF Inventory;GUI_OPF_Inventory

GUI OPF SPF;GUI_OPF_SPF

GUI OSP;GUI_OSP

GUI OSP Splicing/Splitting;GUI_OSP_Splicing

GUI OSP Splitting;APPLET.APP.SPLITTING

GUI Planning;GUI_PLANNING

GUI Power Management;GUI_PowerMgmt

GUI Service Visualization;GUI_ServiceVisualization

GUI Shared Services Visualization;GUI_SSV

GUI VLAN;Applet.VLAN

GUI VPN;Applet.VPN

GUI Wireless Technologies;GUI_Wireless

GUI Workflow;GUI_Workflow

GUI. UI Components;gui-ui-components

GUI: BlazeDS utils;GUI_BlazedsUtils

GUI: Block Diagrams Visualization;GUI_BlockDiagrams

GUI: Coloring;GUI_Coloring

GUI: FSM and RSM Commons;GUI_FSMRSM

GUI: Flex Common;GUI_FlexCommon

GUI: Flex SVG Visualization;GUI_FlexSVG

GUI: Floor Space Management;GUI_FSM

GUI: Offline Inventory Configurator;GUI_OIC

GUI: Rack Space Management;GUI_RSM

GUI: Rule Engine;GUI_RuleEngine

GUI: WDM;GUI_WDM

GWT Common;gwt-common

